,repository_name,language
0,app-store-server-library-java,Java
1,app-store-server-library-node,TypeScript
2,app-store-server-library-python,Python
3,app-store-server-library-swift,Swift
4,apple-llvm-infrastructure-tools,C++
5,apple_rules_lint,Starlark
6,ARKitScenes,Python
7,AudioUnit-Examples,Swift
8,AudioUnitSDK,C++
9,axlearn,Python
10,batch-processing-gateway,Java
11,ccs-caldavclientlibrary,HTML
12,ccs-caldavtester,Python
13,ccs-calendarserver,Python
14,ccs-pycalendar,Python
15,ccs-pykerberos,C
16,ccs-pyopendirectory,C++
17,ccs-pyosxframeworks,Python
18,ccs-pysecuretransport,Python
19,ccs-twistedextensions,Python
20,coremltools,Python
21,corenet,Python
22,cups,C
23,darwin-libplatform,C
24,darwin-libpthread,C
25,darwin-xnu,C
26,device-management,
27,dnikit,Python
28,example-package-dealer,Swift
29,example-package-deckofplayingcards,Swift
30,example-package-figlet,Swift
31,example-package-fisheryates,Swift
32,example-package-playingcard,Swift
33,FHIRModels,Swift
34,foundationdb,C++
35,fstools,C
36,game-center-tools,Python
37,GCGC,Jupyter Notebook
38,homebrew-apple,Ruby
39,HomeKitADK,C
40,learning-compressible-subspaces,Python
41,learning-subspaces,Python
42,live-caller-id-lookup-example,Swift
43,llvm-monorepo-root,
44,llvm-project-v5,C++
45,llvm-project-v5-split,C++
46,MaterialX,
47,ml-4m,Python
48,ml-ademamix,Python
49,ml-afv,Python
50,ml-agm,Python
51,ml-aim,Python
52,ml-all-pairs,Python
53,ml-ane-transformers,Python
54,ml-aspanformer,Python
55,ml-aura,Python
56,ml-autofocusformer,Python
57,ml-autofocusformer-segmentation,Python
58,ml-batchquant,Python
59,ml-behavioral-testing-for-mt,
60,ml-calibration,Jupyter Notebook
61,ml-capsules-inverted-attention-routing,Python
62,ml-cifar-10-faster,Python
63,ml-code-switched-speech-translation,Python
64,ml-codeswitching-translations,
65,ml-collegial-ensembles,Python
66,ml-compress-and-compare,Python
67,ml-core,Python
68,ml-covid-mobility,R
69,ml-cread,Python
70,ml-cvnets,Python
71,ml-cvpr2019-swd,Python
72,ml-dab,Python
73,ml-data-parameters,Python
74,ml-delphi,
75,ml-destseg,Python
76,ml-diffusion-alignment-gflownet,Python
77,ml-direct2.5,Python
78,ml-dms-dataset,Python
79,ml-dprecs,Jupyter Notebook
80,ml-dr,Python
81,ml-duet,Python
82,ml-entity-deduction-arena,Python
83,ml-entropy-reconstruction,Python
84,ml-envmapnet,Python
85,ml-equivariant-neural-rendering,Jupyter Notebook
86,ml-facelit,Python
87,ml-famae,Python
88,ml-fastvit,Python
89,ml-fct,Python
90,ml-ferret,Python
91,ml-finerecon,Python
92,ml-flair,Jupyter Notebook
93,ml-gaudi,
94,ml-gendered-translation,Ruby
95,ml-gmpi,Python
96,ml-gsn,Python
97,ml-hd-gist,Python
98,ml-heart-rate-models,Python
99,ml-hierarchical-confusion-matrix,TypeScript
100,ml-hugs,Python
101,ml-hypersim,Python
102,ml-interspeech2022-phi_rtn,
103,ml-jointnet,Python
104,ml-key-retrieval-code-tasks,Python
105,ml-keyframer,JavaScript
106,ml-kge,Python
107,ml-knowledge-conflicts,Python
108,ml-live-pose,
109,ml-llarp,Python
110,ml-lucid-datagen,Python
111,ml-mdm,Python
112,ml-mgie,Python
113,ml-mia-bench,Jupyter Notebook
114,ml-MixupMP,Python
115,ml-mkqa,Python
116,ml-mobileclip,Python
117,ml-mobileone,Swift
118,ml-mofi,Python
119,ml-multiple-futures-prediction,Python
120,ml-mycelium,JavaScript
121,ml-ncg,Python
122,ml-neilf,Python
123,ml-neilfpp,Python
124,ml-neuman,Python
125,ml-no-token-left-behind,Jupyter Notebook
126,ml-np-rasp,Python
127,ml-nvas3d,Python
128,ml-ogen,Python
129,ml-pgdvs,Python
130,ml-planner,Python
131,ml-pointconvformer,Python
132,ml-pointersect,Python
133,ml-probabilistic-attention,Python
134,ml-projunit,Python
135,ml-qrecc,Python
136,ml-quant,Python
137,ml-recurrent-drafter,Python
138,ml-reed,Python
139,ml-rlgrad,Python
140,ml-robust-expert-augmentations,Python
141,ml-rpm-bench,Python
142,ml-sad,Python
143,ml-sampleplan,Python
144,ml-selfcond,Python
145,ml-shuffling-amplification,Python
146,ml-sigma-reparam,Python
147,ml-sigmoid-attention,Python
148,ml-slowfast-llava,Python
149,ml-spatial-librispeech,
150,ml-spin,Python
151,ml-stable-diffusion,Python
152,ml-stabledreamer,
153,ml-stuttering-events-dataset,Python
154,ml-superposition-prompting,Python
155,ml-symphony,Svelte
156,ml-tic-clip,Python
157,ml-toad,Python
158,ml-tract,Python
159,ml-transcript-translation-consistency-ratings,
160,ml-translate-vis,TypeScript
161,ml-tree-dst,Python
162,ml-tune-mode-convbn,Python
163,ml-tweak,Python
164,ml-upscale,Jupyter Notebook
165,ml-uwac,Python
166,ml-veclip,Jupyter Notebook
167,ml-vfi-smiff,Python
168,ml-vfm-kt,
169,ml-vision-transformers-ane,Python
170,music-feed-examples,Java
171,openjdk,Java
172,password-manager-resources,JavaScript
173,pfl-research,Jupyter Notebook
174,pkl,Java
175,pkl-evolution,
176,pkl-go,Go
177,pkl-go-examples,Go
178,pkl-intellij,Kotlin
179,pkl-jvm-examples,Groovy
180,pkl-k8s,Pkl
181,pkl-k8s-examples,
182,pkl-lang.org,JavaScript
183,pkl-lsp,Kotlin
184,pkl-neovim,Scheme
185,pkl-package-docs,Kotlin
186,pkl-pantry,Pkl
187,pkl-project-commons,
188,pkl-spring,Java
189,pkl-swift,Swift
190,pkl-swift-examples,Swift
191,pkl-vscode,TypeScript
192,pkl.tmbundle,
193,pytorch-speech-features,Python
194,rules_pkl,Starlark
195,sample-backyard-birds,Swift
196,sample-cloudkit-coredatasync,Swift
197,sample-cloudkit-encryption,Swift
198,sample-cloudkit-privatedb,Swift
199,sample-cloudkit-privatedb-sync,Swift
200,sample-cloudkit-queries,Swift
201,sample-cloudkit-sharing,Swift
202,sample-cloudkit-sync-engine,Swift
203,sample-cloudkit-tooling,JavaScript
204,sample-cloudkit-zonesharing,Swift
205,sample-food-truck,Swift
206,servicetalk,Java
207,swift-3-api-guidelines-review,Swift
208,swift-algorithms,Swift
209,swift-aoc-starter-example,Swift
210,swift-argument-parser,Swift
211,swift-asn1,Swift
212,swift-async-algorithms,Swift
213,swift-async-dns-resolver,Swift
214,swift-atomics,Swift
215,swift-cassandra-client,Swift
216,swift-certificates,Swift
217,swift-clang,C++
218,swift-clang-tools-extra,C++
219,swift-cluster-membership,Swift
220,swift-cmake-examples,CMake
221,swift-collections,Swift
222,swift-collections-benchmark,Swift
223,swift-compiler-rt,C
224,swift-container-plugin,Swift
225,swift-corelibs-libdispatch,C
226,swift-crypto,C
227,swift-distributed-actors,Swift
228,swift-distributed-tracing,Swift
229,swift-distributed-tracing-baggage-core,Swift
230,swift-distributed-tracing-extras,Swift
231,swift-embedded-examples,Swift
232,swift-evolution-staging,Swift
233,swift-for-wasm-examples,Swift
234,swift-getting-started-cli,Swift
235,swift-getting-started-package-library,Swift
236,swift-homomorphic-encryption,Swift
237,swift-homomorphic-encryption-protobuf,
238,swift-http-structured-headers,Swift
239,swift-http-types,Swift
240,swift-internals,HTML
241,swift-issues,
242,swift-libcxx,C++
243,swift-llbuild2,Swift
244,swift-lldb,C++
245,swift-llvm,LLVM
246,swift-log,Swift
247,swift-matter-examples,Swift
248,swift-metrics,Swift
249,swift-metrics-extras,Swift
250,swift-migration-guide,Markdown
251,swift-mmio,Swift
252,swift-nio,Swift
253,swift-nio-examples,Swift
254,swift-nio-extras,Swift
255,swift-nio-http2,Swift
256,swift-nio-imap,Swift
257,swift-nio-nghttp2-support,Swift
258,swift-nio-oblivious-http,Swift
259,swift-nio-ssh,Swift
260,swift-nio-ssl,C
261,swift-nio-ssl-support,Swift
262,swift-nio-transport-services,Swift
263,swift-nio-zlib-support,Swift
264,swift-numerics,Swift
265,swift-openapi-generator,Swift
266,swift-openapi-runtime,Swift
267,swift-openapi-urlsession,Swift
268,swift-playdate-examples,Swift
269,swift-protobuf,Swift
270,swift-protobuf-plugin,
271,swift-protobuf-test-conformance,
272,swift-sample-distributed-actors-transport,Swift
273,swift-service-context,Swift
274,swift-service-discovery,Swift
275,swift-standard-library-preview,Swift
276,swift-statsd-client,Swift
277,swift-string-processing-benchmarks,Swift
278,swift-system,Swift
279,swift-tools-support-async,Swift
280,swift-xcode-playground-support,Swift
281,swiftpm-on-llbuild2,Swift
282,tensor-visualizer,Svelte
283,tensorflow_macos,Shell
284,ToolSandbox,Python
285,tree-sitter-pkl,C
286,turicreate,C++
287,unityplugins,C#
288,VideoFlashingReduction,Mathematica
289,vqg-multimodal-assistant,Python
